(a)moth|fen, marsh (n)
lhaew|sickly, sick, ill (adj)
lhain|lean, thin, meagre (adj)
lhassa-|to hear (vb)
lhaw|ears (of one person) (n)
lheweg|ear (n)
lhid-|to sort out, sift, sieve, discriminate (vb)
lhig-|to creep, sneak, do or go by stealth (vb)
lhim|sliding, gliding, slippery, sleek (adj)
lhind|fine, slender (adj)
lhingril|spider (n)
lhing|spider’s web, cobweb; ⚠️spider (n)
lhinnas|slenderness, thinness (n)
lhoereb|venomous, poisonous (adj)
lhoer|venom, poison(ousness) (n)
lhoew|poison(ous substance) (n)
lhongannas|phonology, (lit.) shapes of sounds (n)
lhongant|allophone, surface sound, (lit.) sound-shape (n)
lhossa-|to whisper, rustle (vb)
lhunc|pharynx, gullet (n)
lhê|fine thread, spider filament (n)
lhîd|sieve (n)
lhîw|sickness, disease (n)
lhôn|noise; *phone (in linguistics), speech sound (n)
lhûg|reptile, snake, serpent, worm, *lizard; [N.] dragon (n)
lhýda-|to make sick, sicken (vb)
liltha-|to dance (vb)
lilt|dance (n)
lim (adj)|quick, swift (adj)
lim (n)|fish (n)
limig|[small] drop, ⚠️drop of water (n)
limlug|fish-dragon, sea-serpent (n)
limmeg|young fish, small fry (n)
limmid(a)-|to moisten (vb)
limp (adj n)|clear, sparkling; (bright/clear/gleaming) liquid (adj n)
limp (adj)|wet (adj)
lind (adj)|fair (adj)
lind (n)|song, chant, singing, ⚠️[N.] air, tune; [N. and S.] singer (n)
linna-|to sing, chant (vb)
linnas|music (n)
linnathren|musical (adj)
linnod|type of poetic meter, (lit.) ?seven-chant (n)
linnor|singer (n)
linn|song, chant (n)
lisg|reed, [G.] sedge (n)
lissuin|a fragrant flower (n)
liss|fragrant, sweet (adj)
lista-|to show grace, kindness (vb)
listo|please! (interj)
list|grace, favour, kindness (n)
lithui|ashen, ashy, of ash, ash-coloured, dusty (adj)
lith|ash; [N.] sand (n)
liv-|to drip (vb)
lob-|to gallop, *lope, ⚠️[G.] run (vb)
lobrob|gallop; sound of horse’s feet (n)
loch|ringlet (n)
loda-|to float (vb)
loeg|pool (n)
loen|soaking wet, swamped (adj)
loetha-|to curl, bend, wind, twine, ⚠️tie knot, tangle (vb)
loeth|twist, tendril, spiral, coil (n)
loew|moss (n)
log-|to haul, drag (vb)
logra-|to stoop, bow, cower; to submit (vb)
logren|curled, curly, *bending, looping (adj)
logweg|meandering, twisting, winding; intricate; (lit.) apt to bend (adj)
lom|weary, *tired (adj)
lonc|curl (n)
lond|(land-locked) haven; [N.] narrow path, strait, pass (n)
long|heavy (adj)
lonnas|harbourage (n)
lonn|(land-locked) haven; [N.] pass (n)
loph|nugget, (small) chunk, clump, tidbit (n)
lor-|to sleep, slumber, ⚠️dream (vb)
lorn|asleep (adj)
lortha-|to put to sleep, send to sleep (vb)
losbas|ryebread (n)
losc|rye (n)
lossen|snowy (adj)
loss|snow (n)
losta- (Agriculture and Vegetation)|to bloom, blossom (vb)
losta- (Body Parts and Functions)|to sleep (vb)
lostad|blooming, florescence (n)
lost|empty (adj)
los|snow (n)
lothalan|raft, (lit.) floating platform (n)
lotheg|single [small] flower, *floret (n)
loth|flower, single blossom; inflorescence, head of small flowers (n)
loven|echoing (adj)
lo|while (conj)
luig|minute, moment (n)
luin|blue (adj)
lui|blueness; livor, livid mark, *bruise (n)
lummor|foul weather (n)
lumren|shady, [G.] overcast (n)
lum|shade, *a thing blocking light; [G.] [dark] cloud (n)
lung|heavy; [G.] grave, serious (adj)
lunt|boat (n)
lurlos|poppy, (lit.) flower of sleep (n)
lígu|candle (n)
lín|*thy (pron)
lítha-|to let slip, lose, mislay; (intr.) to be lost; forget (vb)
lîdh|journey (n)
lîf|link, *joint (n)
lîg|wax (n)
lîn|pool, mere (n)
lîr|line, [N.] row (n)
lî|people (of one kind or origin), ⚠️[G.] folk, many people, crowd of folk (n)
lóran|seasonal year, (lit.) growth-cycle (n)
lô|flood, fenland (n)
lúda-|to pass (of time); to come to pass, occur, *happen (vb)
lútha-|to enchant (vb)
lúthad|enchantments, sorcery (n)
lûb|fat, (fat) flesh (n)
lûg|bend, loop, wind, twist; guile, deceit (n)
lûr|sleep, slumber (n)
lûth (Agriculture and Vegetation)|blossom, inflorescence [on a single plant] (n)
lûth (Religion and Beliefs)|spell, charm, [ᴱN.] magic (n)
lû|time, occasion (n)
lŷg|snake (n)
mab-|to seize, *grasp, grab; ⚠️to take away by force (vb)
mabed-|to ask [a question] (vb)
mablanthos|sycamore (n)
mabrenas|dexterity (n)
mabren|handed, having hands, dextrous (adj)
mad-|to eat (vb)
madha|mud (n)
madhren|muddy (adj)
madui|edible (adj)
madweg|gluttonous (adj)
mae (adj)|soft, pliant (adj)
mae (adv adj)|well; excellent, admirable (adv adj)
maeas|dough (n)
maecheneb|sharp-eye[d] (adj)
maed (Emotion)|shapely, *pretty (adj)
maed (Physical Acts and Materials)|handy, skillful, [N.] skilled (adj)
maedol|welcome (adj n)
maegra-|to sharpen (vb)
maeg|piercing, sharp, *penetrating (adj)
mael (adj)|well (adj)
mael (n adj)|stain; stained (n adj)
mael (n)|lust (n)
maeligeb|wealthy, rich (adj)
maelig|wealth, abundance (n)
maelui|lustful (adj)
maenor|craftsman (n)
maen|a treasure (n)
maeras|goodness (n)
maeron|artist (n)
maer|good, excellent, fair; [N.] useful, fit, good (of things) (adj)
maetha-|to handle, wield, use, manage, treat, deal with (vb)
maethas|control, *authority (n)
maetheb|having control or authority (adj)
maeth|management (n)
maew|gull (n)
maf|sheep (n)
maga-|to forge metal (vb)
magor|swordsman (n)
main|prime, chief, pre-eminent (adj)
mair|precious (adj)
maith|goal, intention (n)
mallen|golden, ⚠️[N.] of gold (adj)
mallorn|gold tree, yellow tree (n)
mallos|golden flower (n)
mallú|when, (orig.) what time (adv)
malthos|butter cup (n)
malt|gold (as metal) (n)
malu|fallow, pale, ⚠️[ᴱN.] yellow (adj)
mam|grandmother, ⚠️mother (n)
manc|grip, grasp, hold (n)
mang|butter (n)
mann|food (n)
man|*what, who (pron)
masta-|to [put to] feed, graze (vb)
mast|fodder, feed, ⚠️food, nourishment (n)
mas|where (adv)
mathad|handling, feeling, stroking, caressing; appraising, assay (n)
math|food (n)
maul|flour (n)
maus|pleasure; pleasant taste, pleasant (n adj)
mav-|to like (vb)
mavor|appetite (n)
mavras|desire, eager longing (n)
mavren|delectable, delightful, desireable (adj)
mavron|shepherd, herdsman (n)
maw (Animals)|sheep (n)
maw (Body Parts and Functions)|hand (n)
maw (Sense Perception)|soil, stain (n)
mawedh|glove (n)
ma|good, excellent, that’s right (interj)
mechor|gore (n)
medhia-|to knead, soften (vb)
media-|to feed (vb)
medlin|*bear-like (adj)
medlivorn|blackbear (n)
medli|bear, (lit.) honey-eater (n)
medui|end, final, last (adj)
megil|sword, longsword (n)
megr|sharp-pointed (adj)
mein|first (ordinal)
meiras|value, preciousness (n)
meitha-|to aim at, *have as a goal; ⚠️to intend, mean (vb)
meithas|meaning (n)
mel-|to love (vb)
melethel|darling, sweetheart (n)
melethor|lover (n)
melillin|daffodil, (orig.) yellow song (n)
melingarn|orange, tawny (adj)
mellavan|pet, (lit.) love-animal (n)
mellon|friend (n)
mell|dear, beloved (adj)
melui|lovely, sweet (adj)
men (n)|road, way; ⚠️[N.] *place (n)
men (pron)|us (pron)
men-|to go (vb)
meneg|thousand, *large in number (cardinal)
menel|the heavens, firmament, region of the stars (n)
mengui|thousandth (ordinal)
menna-|to send, (lit.) make go (vb)
ment|message (n)
mer-|to hope, wish, desire, want (vb)
meren|festive, gay, joyous (adj)
mereth|feast, [N.] festival (n)
merifind|Black-haired (adj)
meril|rose (n)
mertha-|to gladden, make happy (vb)
meru|valuable, worthy (adj)
methed|end (n)
meth|last; ⚠️[N.] end (adj)
me|we (exclusive) (pron)
mib-|to kiss (vb)
mib|(little) kiss, peck (n)
milbar|dear home, beloved dwelling [place] (n)
milf|greed (n)
milt|semen (n)
min (cardinal)|one, ⚠️[G.] single (cardinal)
min (n)|peak (n)
minai|distinct, unique, single (adj)
minas|tower, fort, city (with a citadel and central watch tower) (n)
minib|eleven (cardinal)
minlamad|?alliteration, (lit.) first-echoing (n)
minna-|to go in, enter (vb)
minol|ingot (n)
minuial|(dawn) twilight (n)
minui|first (ordinal)
mirian|Gondorian coin (n)
mirith|jewelry (n)
mirtha-|to value, esteem, treasure, cherish (vb)
miruvor|a special wine or cordial (n)
miru|wine (n)
mirwelthen|vintage, *(lit.) wine pressing (n)
mirybin|grape, (lit.) wine-berry (n)
mithren|grey (adj)
mithril|Moria-silver, true-silver (n)
mith|grey, light grey, pale grey (adj)
mivan|where, (lit.) in/at what (adv)
mi|*in (prep)
mol-|to grind, pulverize (vb)
molif|wrist, (lit.) hand-link (n)
molnel|molar (n)
molor|mill (n)
morchant|shadow cast by light, (lit.) dark shape (n)
morgul|black arts, sorcery, necromancy (n)
mornechui|coffee (n)
morn|black, dark; ⚠️night (adj n)
mothren|dusk, dusky (adj)
moth|dusk (n)
movan|how, (lit.) by means of what (adv)
mo|by (agent of) (prep)
muia-|to whine, moan, whimper, caw, meow (vb)
muig (adj)|soft, gentle (adj)
muig (n)|cat (n)
muil|drear[iness] (n adj)
muis|softness, tenderness, gentleness (n)
mund|bull (n)
munneg|calf (n)
munnost|byre, cowhouse (n)
mâb|hand, ⚠️[N.] grasp (n)
mâd|meal (n)
mâf|pile or mass of rock or earth (n)
mâl|pollen, yellow powder (n)
mêd(h)|[Ilk.] wet (adj)
mínem|movie, motion picture (n)
mín|our (pron)
mírad|treasury, hoard (n)
mírdan|jewel smith (n)
míria-|to sparkle like jewels (vb)
míriel|sparkling like jewels, like a jewel (adj)
mítha-|to kiss (vb)
mîdh|dew, *moisture, damp(ness); ⚠️[ᴱN.] mist, drizzle (n)
mîg|among (prep)
mîn (Motion and Transportation)|motion (n)
mîn (Spatial Relations)|[thing] between; gap, space, barrier; anything intervening between two other things (n)
mîr|jewel, precious thing, treasure (n)
mî|(to the) inside; into (adv prep)
môr|dark(ness); †night, ⚠️[N.] †black (n)
mûg|dung (n)
mûn|womb (n)
mŷl|gull (n)
na (Grammar)|of; with, along with, accompanied by, provided with or by, associated with, marked with; [N.] by (prep)
na (Spatial Relations)|to, towards, at (prep)
na(n)|of; provided with or by, associated with, marked with, ⚠️with, along with, accompanied by; [N.] by (prep)
na-|to be (vb)
nab-|to take, lay hold of (vb)
nabant|almost, (lit.) towards full (adv)
nabas|seizure (n)
nabor|booty (n)
naden|until, up to, as far as (prep)
nadh-|to chew, gnaw (vb)
nadha|fetter (n)
nadren|real; possible (in sense possible to exist or think of) (adj)
naeag|goat (n)
naeda-|to oppress, cause great grief to (vb)
naedh|wounding, wound (n)
naed|true, real (adj)
naegos|anguish (n)
naegra-|to pain (vb)
naena-|to lament, wail for, make moan for, ⚠️weep (vb)
naeras|sorrow, woe (n)
naergon|woeful lament (n)
naer|dreadful, horrible, unendurable; [N.] lamentable, ⚠️sad (adj)
naeth|woe; [N.] biting, gnashing of teeth (n)
nagnel|incisor (tooth) (n)
nail|third (ordinal)
naith|spearhead, gore, wedge, narrow prominitory; angle (n)
nala|(yellow) lily (n)
nalla-|to cry (vb)
nallan|call (n)
nallar|call (n)
nalla|call (n)
nalloth|call (n)
naman|how, (lit.) with what (adv)
nan(d)|vale, valley, [ᴱN.] dale; [N.] wide grassland; ⚠️[G.] field acre (n)
nanc|bite (n)
nanu|truth (n)
nanwen|true (adj)
nan|of (prep)
narch|bitter-biting (adj)
narn|tale, [N.] saga (n)
narphen|character [in a story] (n)
narthan|beacon (n)
narth|list, (lit.) product of recitation (n)
narvaenas|firework (n)
nast|being (used for both a creature and the state of existence) (n)
natha-|to bring help to, save, rescue (vb)
nathal|guest (n)
nathla-|to welcome (vb)
nathol|affable, kindly, welcoming (adj)
nathren|welcome, acceptable, agreeable (adj)
naub|thumb (n)
naug|dwarf; dwarf(ed), stunted (n)
naur|fire, ⚠️[N.] flame (n)
navaer|farewell, (lit.) be well (interj)
navan|where, whither, to where, (lit.) at/to what (adv)
naw (adj)|hollow (adj)
naw (interj)|yes (interj)
nederphaen|ninety (cardinal)
nederph|nineteen (cardinal)
neder|nine (cardinal)
nedhor|mid-day, noon (n)
nedhu|bolster, cushion (n)
nedhwad|lunch, (lit.) middle-meal (n)
nedia-|to count (vb)
nedrui|ninth (ordinal)
ned|*one more; ⚠️first; *during (n)
nef|hither, on this (the speaker’s) side of; †beyond [loose translation]; *near (prep)
negen|sharp, angular (adj)
neitha-|to wrong, deprive (vb)
neithan|one deprived, exile whose rights and goods have been confiscated (n)
nelchaenen|*thirtieth (ordinal)
neldor|beech (n)
neleb|thirteen (cardinal)
neledh|three (cardinal)
nelio|buckwheat (n)
nellad|sound of bells, ringing (n)
nelluin|bluebell (n)
nelphaen|thirty (cardinal)
nelui|third (ordinal)
neman|when, (lit.) during what (adv)
nemmas|evidence (n)
nem|seeming, evident, probably but not necessarily so (adj)
nend|watery (adj)
nennibis|waterlily, (lit.) water snowflake (n)
nen|water; lake, pool; (lesser) river, [ᴱN.] stream (n)
nepheg|mid-point, (lit.) mid-spot (n)
nerthui|ninth (ordinal)
ness|*headland; [G.] (water) meadow; long grass (n)
nethan-|to inspire, kindle inside (vb)
netheg|girl (diminutive) (n)
nethel|sister (n)
nethia-|to entertain, (orig.) to make welcome (vb)
nethias|entertainment (n)
nethig|sister, girl (diminutive) (n)
nethor|herd, flock (n)
neth|(little) girl; ⚠️sister (diminutive) (n)
nev-|to seem, appear (vb)
nevia-|to localize, bring close, translate (into your own language), translate (into another language when used with the dative case) (vb)
nevra-|to face, go forward (vb)
nevui|nearly (adj)
niben|petty, *small (adj)
nibis|snowflake (n)
nich|frost (n)
nidh-|to will (vb)
niged|little finger (n)
nigol|mouse, (lit.) small one (n)
nigren|stealthy, (orig.) mouse-like (adj)
nimmas|whiteness (n)
nimp|pale, pallid, white; small and frail, [ᴱN.] wan, sickly (adj)
nim|white (adj)
nind|slender (adj)
ninglor|golden water-flower, *yellow iris (n)
ninna-|to weep, *cry (tears) (vb)
ninniach|rainbow (n)
nin|me (pron)
niphredil|white flower (similar to a snowdrop); *(lit.) pale point (n)
niphred|pallor; [N.] fear (n)
nirnaeth|tears, [N.] lamentation (n)
nista-|to press, thrust, force (in a given direction) (vb)
nivol|phantom, a seeming (n)
niwrim|swarm (n)
ni|I (pron)
nobad|thumb and index finger as a pair, *(lit.) pickers (n)
noch|acorn (n)
nod-|to count (vb)
noden|prone, face down (adj)
nodui|some, few, several (adj)
nogen|boy, lad, urchin; *(orig.) short (of persons) (n)
nor-|to run (or leap) of animals or men; [G.] to roll [of vehicles] (vb)
nordh|oak (n)
norn (adj n)|hard; dwarf (adj n)
norn (n)|[G.] wheel (n)
norna-|to complain of, ⚠️bewail, lament (vb)
nornad|complaint (n)
norra-|to growl, grumble (vb)
northa-|to make run, *ride; [G.] to send rolling [as a vehicle], speed (vb)
north|riding, race (of people running), charge or gallop (n)
norweg|often running (adj)
nos(s)|family, kindred, clan, house; race, tribe, people (n)
nosta-|to smell (vb)
nost|house, family (n)
nothlir|folk, family (n)
nothrim|family (n)
noth|number (n)
novaer|goodbye, farewell, (lit.) be well (interj)
nuicha-|to take notice, perceive; *(orig.) to smell [something] (vb)
nuir|yesterday (n)
nuitha-|to stunt, prevent from coming to completion, stop short, not allow to continue (vb)
nui|before (of time); ⚠️[G.] afterwards, again, later (prep adv)
nunna-|to incline head, bend face down, *nod; to assent, *agree (vb)
nuru-|to growl, grumble (vb)
nu|under (prep)
nêl|three (cardinal)
nída-|to weep, cry (tears) (vb)
nídha-|to be determined to (vb)
nínia-|to weep (vb)
nín|my (pron)
nírol|sad, sorrowing, *sorrowful (adj)
nítha- (Physical World)|to snow, hail, ⚠️rain (vb)
nítha- (Spatial Relations)|to reduce, make small (vb)
níthannen|reduced, minor (vb)
níwost|hive (n)
nî-|was (vb)
nîdh (Food and Drink)|[N.] honeycomb; ⚠️[S.] juice (n)
nîdh (Mind and Thought)|full vigorous purpose, exertion of will (n)
nîf|phantom, a seeming (n)
nîn (adj)|wet, *watery (adj)
nîn (n)|tear; ⚠️[ᴱN.] weeping (n)
nîth|sister (n)
nîw|bee (n)
nî|once, at one time; was (adv)
nŷw|noose, snare (n)
ochui|seventh (ordinal)
och|egg (n)
odlad|week (n)
odobaen|seventy (cardinal)
odob|seventeen (cardinal)
odog|seven (cardinal)
odophaen|seventy (cardinal)
odoph|seventeen (cardinal)
odothui|seventh (ordinal)
odo|seven (cardinal)
oel|cool (adj)
oer|nasty (adj)
oetha-|to lay eggs, nest (vb)
oew|an evil deed (n)
oglas|wickedness, *evil (n)
ogod|knee (n)
ogol|bad, evil, wrong; gloom(y) (adj)
ogron|wicked or evil person (n)
ol-|to become (vb)
ol-|to pour (vb)
ola-|to become (vb)
olf|jar, flagon, *pitcher (n)
olla-|to ooze, *trickle (vb)
olost|drowsy, dreamy, lazy (adj)
olui|dreamy (adj)
oman|whence, from where, (lit.) from what (adv)
omlos|chestnut tree, *chestnut (n)
oneth|*giving (n)
onna-|*to birth, give birth to (vb)
onnad|birth (n)
onnen|born (adj)
ont|no, none (adj adv)
or-|-day (pref)
ora-|to heat up (vb)
orchal|tall; [N.] superior, eminent, lofty (adj)
orchen|dandelion, (lit.) day-eye (n)
orch|Orc, [N.] goblin (n)
ordh|boil, pus (n)
ordolel|tomorrow (n)
orest|hour (n)
oreth|hour (n)
orfing|pear, *(lit.) hair-apple (n)
orf|apple (n)
orna-|to burn (tr. and intr.) (vb)
orn|(tall straight) tree (n)
orodben|mountaineer, one living in the mountains (n)
orod|mountain (n)
oronnad|birthday (n)
oroth|rage, anger (n)
ortha-|to raise (vb)
orthad|*raising (n)
orth|upper (adj)
orvedui|yesterday (n)
orvel-|to favour, *(lit.) love above (vb)
osgaef|surroundings, environs, milieu (n)
osta-|to surround with walls, build up, fortify, protect; to surround (vb)
ostol-|to circumnavigate, come around (vb)
ostor|enclosure, circuit of walls, *town wall (n)
ost|fort, fortress, stronghold, citadel; (fortified) town, [N.] city; [orig.] [S.] enclosure, ⚠️[G.] yard (n)
os|*about (prep)
oth-|[wrong] with a bad sense; unsuitable, bad, improper, useless, wrong (pref)
othas|warfare (n)
othestannen|infamous, of evil name, (lit.) ill-named (adj)
othgar(ed)|doing wrong, *wrong doing (n)
othgarn|misdeed, *sin (n)
othidh|armistice (n)
othlonn|paved way (n)
othol|stranger, guest (n)
othovor|too much, (lit.) abundant in a bad way (adj)
othra-|to get away, escape (vb)
othrad|street (n)
othren|strange, weird, odd (adj)
othrim|army (n)
othrol|warlike (n)
othrond|underground stronghold, [N.] underground city, fortress (n)
othui|seventh (ordinal)
othwen|amazon (n)
o|from, of (prep)
pad-|to step, walk (vb)
padol|key (n)
padra-|to walk (vb)
paean|ten (cardinal)
paedolodh|eighteen (cardinal)
paegan|fourteen (cardinal)
paeleben|fifteen (cardinal)
paeneder|nineteen (cardinal)
paeneg|sixteen (cardinal)
paenel|thirteen (cardinal)
paenodog|seventeen (cardinal)
paenui|tenth (ordinal)
paetha-|to utter, speak, talk (vb)
paethad|oratory (n)
paethas|grammar, speech-system (n)
paethron|orator (n)
paeth|speech (n)
pae|ten (cardinal)
paich|juice, syrup, *sap (n)
palan-díriel|far-gazer (n)
palan-hinnen|famous, *(lit.) widely-known (adj)
palan-tîriel|*far-gazer (n)
palan|afar, abroad, far and wide (adv)
palt|wide flat leaf; page of book; ⚠️blade (of swords, knives, oars, etc.) (n)
pan-|to arrange, order, settle; to set, put, place; to write a book (vb)
pand|courtyard (n)
pannen|arranged, settled, done (adj)
pant (adj)|full; [G.] (with article) the whole, all the (adj)
pant (n)|money (n)
panu|arrangement, plan; structure, ordering; (musical) theme (n)
pan|arrangement, settlement, *grouping; ⚠️place, spot (n)
paran|bare, naked; smooth, shaven (adj)
parchol|towel (n)
parch|naked (of persons) (adj)
parlas|parchment, document (n)
paron|full-moon (n)
partha-|to arrange, compose (vb)
partham|library (n)
parth|field, enclosed grassland, sward (n)
pasta-|to shake, wag, nod, flap (vb)
past|shaking (adj)
path-|to smooth (vb)
patha-|to reveal, show (vb)
pathu|level space, sward (n)
paur|fist, closed hand (n)
pavra-|to ail, be ill (vb)
pechof|squirrel (n)
pechol|hazel (n)
pech|nut (n)
ped-|to say, speak (vb)
pedh-|to incline, slope, ⚠️fall in steep slant (vb)
pedui|*utterable, pronouncable, able to be spoken (adj)
pedweg|talkative, saying a lot (adj)
pegof|squirrel (n)
pel- (Motion and Transportation)|to fade, wane (vb)
pel- (Social Relations)|to fence, enclose (vb)
pela(h)|along, (lit.) by the boundary of (prep)
peleth|waning, *fading (n)
pell|still, quiet, hushed (adj)
pelu-|to fence, enclose (vb)
pemp|lip (n)
pen (prep pref)|without, lacking, -less (prep pref)
pen (pron, Grammar)|us (inclusive) (pron)
pen (pron, Mankind)|one, somebody, anybody; ⚠️[N.] Elf (pron)
pen-channas|stupid, idiotic, *(lit.) lack-wit (adj)
pen-ind|insane, heartless, crazy (adj)
pen-|to have not (vb)
penbed|not pronouncable (adj)
pend|slope, steep incline, hill side, [N.] declivity; [S.] sloping (down), steeply inclined (n adj)
penedh|Elf (n)
penestel|hopelessness, despair, desperation; hopeless, despairing, desperate (n adj)
pengas|archery (n)
pengolodh|teaching sage, doctor (of lore), *professor (n)
pengron|archer (n)
penna-|to come down (in a slant), fall (vb)
pennig|coin (n)
penninor|full year (last day of year), *new year’s eve (n)
pennod|without count (adj)
pennoediad|innumerable (adj)
per- (pref)|half (pref)
per- (vb)|to turn (vb)
perna-|to turn (vb)
perol|jar (n)
perthol|peninsula (n)
pesgannas|syntax, study of syntactical structures, (lit.) shapes of phrases (n)
pesgant|syntax, syntactical structure, (lit.) phrase-shape (n)
pess (Body Parts and Functions)|feather (n)
pess (Language and Music)|saying, [G.] proverb (n)
pesson|plume, (great) feather (n)
pethas|sentence, phrase (n)
pethgannas|morphology, (lit.) shapes of words (n)
pethgant|surface representation (of a word), (lit.) word-shape (n)
pethlongannas|morphophonology (n)
pethron|speaker, reciter, [N.] narrator, minstrel (n)
peth|word (n)
pe|we (inclusive) (pron)
pibin|small berry, haw (n)
pil-|to steal, rob, thieve (vb)
pilimbes|arrow feathering (n)
pilin(d)|arrow, [G.] dart (n)
pilinoth|arrow of war, arrow sent as a summons to war (n)
pillor|bat (animal) (n)
pilu|stealing, robbery, theft (n)
pimp|tail (n)
pim|tail (n)
pind|crest, ridge (n)
pir-|to stir, stir round, make spin (vb)
piren|spun, rounded, cylindrical (adj)
pirin|flower that opened and shut quickly with any change of light (n)
piruin|spinning wheel (n)
pista-|to suppose (vb)
pi|if (adv)
plada-|to feel with the hand, stroke (vb)
plador|oar (n)
plad|palm, flat of the hand (n)
plant|flat, open, expansive; candid, blunt (of words) (adj)
plinn|arrow (n)
pog-|futuere, *to copulate, have sex (vb)
pogron|fututor, *one who copulates (n)
pol-|can, to be (physically) able to (vb)
polch|trunk, torso (n)
poll|ram (n)
polodhren|mighty, *powerful (politically) (adj)
polodh|power, might, authority (n)
poltha-|to (physically) enable (vb)
porochuil|hen (n)
porogog|the clucking and noise of fowls (n)
porog|fowl (domestic), *chicken (n)
posta-|to stop, cease, leave off, ⚠️rest (vb)
postad|stopping, cessation, leaving off (n)
potha-|to tremble, quiver (vb)
press|trouble, disturbance (n)
pruin|charcoal (n)
prôg|fowl, hen (n)
puch|cunnus, vagina (n)
puida-|to clean, tidy, cleanse, ⚠️purify (vb)
puidad|(act of) cleaning, cleansing (n)
puidh|wash, cleaning (n)
puiga-|to clean, wash (vb)
puitha-|*to have sex (with) (vb)
puith|coitus, *sex (n)
pâd|a step (action); track, road; ford; [N.] way (n)
pân|all, *complete, entire, full, the whole (adj)
pêl|[N.] fenced field (n)
píeg|mosquito (n)
pítha-|to shoot (vb)
pîl|robber, thief (n)
pîn (adj)|little (adj)
pîn (pron)|our (inclusive) (pron)
pîr|cream (n)
pôg|bag (n)
rach (Emotion)|danger (n)
rachas|danger (n)
rachathren|dangerous (adj)
rachui|dangerous (adj)
rach|wain (n)
radh-|to return (intransitive) (vb)
raebroch|zebra (n)
raeb|scored, striped (adj)
raeda- (Emotion)|to smile (vb)
raeda- (Motion and Transportation)|to catch in a net (vb)
raef|net (n)
raegdan|sinner (n)
raeg|wrong, [G.] awry, twisted, distorted, perverse, leering (of face) (adj)
raen (Emotion)|smiling, gracious, sweet-faced (adj)
raen (Motion and Transportation)|netted, enlaced (adj)
raen|crooked (adj)
raeth (Motion and Transportation)|extent, reach; region, sphere, district, scope (n)
raeth (Physical Acts and Materials)|breach, *burst (n)
raetha-|to reach at, reach for; to reach, extend (intr.) (vb)
raew (Motion and Transportation)|net (n)
raew (Spatial Relations)|fathom (n)
rae|smile (n)
rag-|to break (asunder), burst (vb)
ragui|fragile, breakable (adj)
rain (adj)|free, *unconstrained (adj)
rain (n, Motion and Transportation)|erratic wandering (n)
rain (n, Social Relations)|border (n)
raitha-|to try, strive (vb)
rammas|great wall (n)
ram|wall (n)
ran-|to wander (vb)
ranc|arm (n)
randir|wanderer, wandering man, pilgrim (n)
randis|wanderer (f.) (n)
rand|cycle (n)
ranoth|month (n)
rant|course, water-channel; lode, [N.] vein (n)
raph-|to snatch, seize, steal (vb)
raph|rope, strap (n)
ras(t)|cape, shore (n)
rasg (Body Parts and Functions)|horn (n)
rasg (Motion and Transportation)|wain, *wagon, cart (n)
rass|horn [of both animals and mountains] (n)
rath|street; [N.] course, river-bed (n)
raud (adj)|noble, eminent; lofty, high, tall; excellent (adj)
raud (n)|metal (n)
raudh|hollow, cavernous (adj)
raug|demon, powerful hostile and terrible creature (n)
raun|errant (adj)
ravaed|skillful (adj)
ravn|wing (horn), extended point at side (n)
raw (Animals)|lion (n)
raw (Body Parts and Functions)|wing (n)
raw (Physical World)|bank (especially of a river) (n)
red-|to climb (vb)
redh-|to sow (vb)
redhia-|*to return (transitive) (vb)
redhin|related (adj)
redhor|farmer (n)
regil|mare (n)
rein|slot, spoor, track, footprint (n)
reitha- (Possession and Trade)|to rescue, save (from ruin, peril, loss) (vb)
reitha-|to try, strive (vb)
reithron|rescuer, saviour (n)
rem (adj)|frequent, numerous (adj)
rem (n)|mesh, net (for catching) (n)
remmen|entangled, meshed, netted, woven (adj)
ren-|to remember (vb)
rend (adj)|circular (adj)
rend (n)|male cousin, relative (n)
renia-|to sail, fly (vb)
renia-|to stray, wander (vb)
renna-|to remind (vb)
rennas|kinship, relation (n)
ress (adj)|cleft, cloven, separate (adj)
ress (n)|female cousin, relative (n)
rest|[N.] cut (n)
reth (Motion and Transportation)|*climber (n)
reth (Time)|endurance (n)
reth-|to remain in same place (vb)
revia-|to fly, sail (vb)
rhach|curse (n)
rhaed|peculiar hue, (special) fashion (n)
rhaen|crooked (adj)
rhae|easy (adj)
rhanc|awkward, hard (adj)
rhaw (adj)|wild, [N.] untamed (adj)
rhaw (n)|flesh, ⚠️body (n)
rhib-|to scratch (vb)
rhofelf|body-feeling, [physical] sensation (n)
rhond|body (n)
rhosc|russet, [N.] brown (adj)
rhosg|russet, [N.] brown (adj)
rhovan|wilderness; wild beast (n)
rhu-|evil- (pref)
rhudol|unwelcome, coming with evil omen or intent (adj n)
rhufaug|drunken (adj)
rhugarol|wicked, doing evil (adj)
rhugaron|sinner (n)
rhugar|evil deed, *sin (n)
rhîd|peculiar hue, (special) fashion (n)
rhîf|brink, brim (n)
rhîw|winter (n)
rhúnen|eastern (adj)
rhû (n adj)|evil, wicked (n adj)
rhû (n)|matter (n)
rhûd|dwelling underground, artifical cave, rockhewn hall, mine (n)
rhûn|east, [N.] eastern; †rising (n)
rib-|to flow like a (?torrent) (vb)
ribin|striped, edged (adj)
